2023, Autumn 1, 01/09/2023, 16/10/2023
2023, Autumn 2, 27/10/2023, 14/12/2023
2024, Spring 1, 10/01/2024, 12/02/2024
2024, Spring 2, 16/02/2024, 22/03/2024
2024, Summer 1, 16/04/2024, 27/05/2024
2024, Summer 2, 31/05/2024, 05/07/2024
2024, Autumn 1, 30/08/2024, 21/10/2024
2024, Autumn 2, 01/11/2024, 13/12/2024
2025, Spring 1, 08/01/2025, 17/02/2025
2025, Spring 2, 21/02/2025, 28/03/2025
2025, Summer 1, 23/04/2025, 26/05/2028
2025, Summer 2, 30/05/2025, 04/07/2025
2025, Autumn 1, 01/09/2025, 20/10/2025
2025, Autumn 2, 31/10/2025, 12/12/2025
2026, Spring 1, 07/01/2026, 16/02/2026
2026, Spring 2, 20/02/2026, 27/03/2026
2026, Summer 1, 21/04/2026, 25/05/2026
2026, Summer 2, 29/05/2026, 03/07/2026
